CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1T,CHLOCCT,CHTERM,CHRMINE
IZ,290,ARKIA  ISRAELI  AIRLINES,2024-08-03T19:30:00,2024-08-03T23:32:00,A,SOF,SOFIA,SOFIA,BULGARIA,3,LANDED
IZ,336,ARKIA  ISRAELI  AIRLINES,2024-08-03T23:15:00,2024-08-03T23:35:00,A,FCO,ROME - FIUMICINO,ROME,ITALY,3,LANDED
VY,7844,VUELING AIRLINES S.A.,2024-08-03T23:40:00,2024-08-03T23:40:00,A,BCN,BARCELONA,BARCELONA,SPAIN,3,CANCELED
XR,616,CORENDON EUROPE,2024-08-03T16:15:00,2024-08-03T23:40:00,A,RHO,RHODES-PARADISI,RHODES,GREECE,3,LANDED
U8,102,TUS AIRWAYS,2024-08-03T23:40:00,2024-08-03T23:42:00,A,LCA,LARNACA,LARNACA,CYPRUS,3,LANDED
IZ,051,ARKIA  ISRAELI  AIRLINES,2024-08-03T22:10:00,2024-08-03T23:43:00,D,LCA,LARNACA,LARNACA,CYPRUS,1,DEPARTED
LY,091,EL AL ISRAEL AIRLINES,2024-08-03T23:30:00,2024-08-03T23:48:00,D,NRT,TOKYO INTL.-NARITA,TOKYO,JAPAN,3,DEPARTED
IZ,1846,ARKIA  ISRAELI  AIRLINES,2024-08-03T23:50:00,2024-08-03T23:50:00,A,ETM,RAMON,RAMON,ISRAEL,1,CANCELED
H7,458,HISKY,2024-08-03T23:35:00,2024-08-03T23:52:00,D,RMO,CHISINAU,CHISINAU,MOLDOVA,3,DEPARTED
6H,585,ISRAIR AIRLINES,2024-08-03T21:00:00,2024-08-03T23:58:00,D,LCA,LARNACA,LARNACA,CYPRUS,3,DEPARTED
WZ,016,RED WINGS AIRLINES,2024-08-03T23:50:00,2024-08-04T00:06:00,D,DME,MOSCOW-DOMODEDOVO,MOSCOW,RUSSIAN FEDERATION,3,DEPARTED
VY,7845,VUELING AIRLINES S.A.,2024-08-04T00:25:00,2024-08-04T00:25:00,D,BCN,BARCELONA,BARCELONA,SPAIN,3,CANCELED
6H,048,ISRAIR AIRLINES,2024-08-04T00:25:00,2024-08-04T00:25:00,A,ETM,RAMON,RAMON,ISRAEL,1,CANCELED
B6,6453,JETBLUE AIRWAYS CORPORATION,2024-08-04T00:05:00,2024-08-04T00:27:00,D,JFK,NEW YORK - J.F.KENNEDY,NEW YORK,UNITED STATES,3,DEPARTED
DL,7426,DELTA AIRLINES,2024-08-04T00:05:00,2024-08-04T00:27:00,D,JFK,NEW YORK - J.F.KENNEDY,NEW YORK,UNITED STATES,3,DEPARTED
LY,003,EL AL ISRAEL AIRLINES,2024-08-04T00:05:00,2024-08-04T00:27:00,D,JFK,NEW YORK - J.F.KENNEDY,NEW YORK,UNITED STATES,3,DEPARTED
IZ,211,ARKIA  ISRAELI  AIRLINES,2024-08-03T18:30:00,2024-08-04T00:30:00,D,ATH,ATHENS,ATHENS,GREECE,3,CANCELED
